#in_n	in_c	in_h	in_w	f_n	f_c	f_h	f_w	group	stride	padding	out_n	out_c	out_h	out_w
1	1	227	227	96	1	11	11	1	4	0	1	96	55	55
1	2	227	227	96	2	11	11	1	4	0	1	96	55	55
1	3	227	227	96	3	11	11	1	4	0	1	96	55	55
1	4	227	227	96	4	11	11	1	4	0	1	96	55	55
1	5	227	227	96	5	11	11	1	4	0	1	96	55	55
1	6	227	227	96	6	11	11	1	4	0	1	96	55	55
1	7	227	227	96	7	11	11	1	4	0	1	96	55	55
1	8	227	227	96	8	11	11	1	4	0	1	96	55	55
1	8	11	11	96	4	11	11	2	1	0	1	96	1	1
1	8	227	227	96	4	11	11	2	4	0	1	96	55	55
1	9	227	227	96	3	11	11	3	4	0	1	96	55	55
1	16	227	227	96	8	11	11	2	4	0	1	96	55	55
1	4	227	227	96	2	3	3	2	1	1	1	96	227	227
1	8	227	227	96	4	3	3	2	1	1	1	96	227	227
1	16	227	227	96	8	3	3	2	1	1	1	96	227	227
1	32	227	227	96	16	3	3	2	1	1	1	96	227	227
