#in_n	in_c	in_h	in_w	f_n	f_c	f_h	f_w	stride	padding	out_n	out_c	out_h	out_w
1	64	56	56	256	64	1	1	1	0	1	256	56	56
1	64	56	56	64	64	1	1	1	0	1	64	56	56
1	64	56	56	64	64	3	3	1	1	1	64	56	56
1	64	56	56	256	64	1	1	1	0	1	256	56	56
1	256	56	56	64	256	1	1	1	0	1	64	56	56
1	64	56	56	64	64	3	3	1	1	1	64	56	56
1	64	56	56	256	64	1	1	1	0	1	256	56	56
1	256	56	56	64	256	1	1	1	0	1	64	56	56
1	64	56	56	64	64	3	3	1	1	1	64	56	56
1	64	56	56	256	64	1	1	1	0	1	256	56	56
1	256	56	56	512	256	1	1	2	0	1	512	28	28
1	256	56	56	128	256	1	1	2	0	1	128	28	28
1	128	28	28	128	128	3	3	1	1	1	128	28	28
1	128	28	28	512	128	1	1	1	0	1	512	28	28
1	512	28	28	128	512	1	1	1	0	1	128	28	28
1	128	28	28	128	128	3	3	1	1	1	128	28	28
1	128	28	28	512	128	1	1	1	0	1	512	28	28
1	512	28	28	128	512	1	1	1	0	1	128	28	28
1	128	28	28	128	128	3	3	1	1	1	128	28	28
1	128	28	28	512	128	1	1	1	0	1	512	28	28
1	512	28	28	128	512	1	1	1	0	1	128	28	28
1	128	28	28	128	128	3	3	1	1	1	128	28	28
1	128	28	28	512	128	1	1	1	0	1	512	28	28
1	512	28	28	1024	512	1	1	2	0	1	1024	14	14
1	512	28	28	256	512	1	1	2	0	1	256	14	14
1	256	14	14	256	256	3	3	1	1	1	256	14	14
1	256	14	14	1024	256	1	1	1	0	1	1024	14	14
1	1024	14	14	256	1024	1	1	1	0	1	256	14	14
1	256	14	14	256	256	3	3	1	1	1	256	14	14
1	256	14	14	1024	256	1	1	1	0	1	1024	14	14
1	1024	14	14	256	1024	1	1	1	0	1	256	14	14
1	256	14	14	256	256	3	3	1	1	1	256	14	14
1	256	14	14	1024	256	1	1	1	0	1	1024	14	14
1	1024	14	14	256	1024	1	1	1	0	1	256	14	14
1	256	14	14	256	256	3	3	1	1	1	256	14	14
1	256	14	14	1024	256	1	1	1	0	1	1024	14	14
1	1024	14	14	256	1024	1	1	1	0	1	256	14	14
1	256	14	14	256	256	3	3	1	1	1	256	14	14
1	256	14	14	1024	256	1	1	1	0	1	1024	14	14
1	1024	14	14	256	1024	1	1	1	0	1	256	14	14
1	256	14	14	256	256	3	3	1	1	1	256	14	14
1	256	14	14	1024	256	1	1	1	0	1	1024	14	14
1	1024	14	14	2048	1024	1	1	2	0	1	2048	7	7
1	1024	14	14	512	1024	1	1	2	0	1	512	7	7
1	512	7	7	512	512	3	3	1	1	1	512	7	7
1	512	7	7	2048	512	1	1	1	0	1	2048	7	7
1	2048	7	7	512	2048	1	1	1	0	1	512	7	7
1	512	7	7	512	512	3	3	1	1	1	512	7	7
1	512	7	7	2048	512	1	1	1	0	1	2048	7	7
1	2048	7	7	512	2048	1	1	1	0	1	512	7	7
1	512	7	7	512	512	3	3	1	1	1	512	7	7
1	512	7	7	2048	512	1	1	1	0	1	2048	7	7
