#in_n	in_c	in_h	in_w	f_n	f_c	f_h	f_w	stride	padding	out_n	out_c	out_h	out_w
1	3	224	224	64	3	7	7	2	3	1	64	112	112
1	64	56	56	64	64	1	1	1	0	1	64	56	56
1	64	56	56	192	64	3	3	1	1	1	192	56	56
1	192	28	28	64	192	1	1	1	0	1	64	28	28
1	192	28	28	96	192	1	1	1	0	1	96	28	28
1	96	28	28	128	96	3	3	1	1	1	128	28	28
1	192	28	28	16	192	1	1	1	0	1	16	28	28
1	16	28	28	32	16	5	5	1	2	1	32	28	28
1	192	28	28	32	192	1	1	1	0	1	32	28	28
1	256	28	28	128	256	1	1	1	0	1	128	28	28
1	256	28	28	128	256	1	1	1	0	1	128	28	28
1	128	28	28	192	128	3	3	1	1	1	192	28	28
1	256	28	28	32	256	1	1	1	0	1	32	28	28
1	32	28	28	96	32	5	5	1	2	1	96	28	28
1	256	28	28	64	256	1	1	1	0	1	64	28	28
1	480	14	14	192	480	1	1	1	0	1	192	14	14
1	480	14	14	96	480	1	1	1	0	1	96	14	14
1	96	14	14	208	96	3	3	1	1	1	208	14	14
1	480	14	14	16	480	1	1	1	0	1	16	14	14
1	16	14	14	48	16	5	5	1	2	1	48	14	14
1	480	14	14	64	480	1	1	1	0	1	64	14	14
1	512	14	14	160	512	1	1	1	0	1	160	14	14
1	512	14	14	112	512	1	1	1	0	1	112	14	14
1	112	14	14	224	112	3	3	1	1	1	224	14	14
1	512	14	14	24	512	1	1	1	0	1	24	14	14
1	24	14	14	64	24	5	5	1	2	1	64	14	14
1	512	14	14	64	512	1	1	1	0	1	64	14	14
1	512	14	14	128	512	1	1	1	0	1	128	14	14
1	512	14	14	128	512	1	1	1	0	1	128	14	14
1	128	14	14	256	128	3	3	1	1	1	256	14	14
1	512	14	14	24	512	1	1	1	0	1	24	14	14
1	24	14	14	64	24	5	5	1	2	1	64	14	14
1	512	14	14	64	512	1	1	1	0	1	64	14	14
1	512	14	14	112	512	1	1	1	0	1	112	14	14
1	512	14	14	144	512	1	1	1	0	1	144	14	14
1	144	14	14	288	144	3	3	1	1	1	288	14	14
1	512	14	14	32	512	1	1	1	0	1	32	14	14
1	32	14	14	64	32	5	5	1	2	1	64	14	14
1	512	14	14	64	512	1	1	1	0	1	64	14	14
1	528	14	14	256	528	1	1	1	0	1	256	14	14
1	528	14	14	160	528	1	1	1	0	1	160	14	14
1	160	14	14	320	160	3	3	1	1	1	320	14	14
1	528	14	14	32	528	1	1	1	0	1	32	14	14
1	32	14	14	128	32	5	5	1	2	1	128	14	14
1	528	14	14	128	528	1	1	1	0	1	128	14	14
1	832	7	7	256	832	1	1	1	0	1	256	7	7
1	832	7	7	160	832	1	1	1	0	1	160	7	7
1	160	7	7	320	160	3	3	1	1	1	320	7	7
1	832	7	7	32	832	1	1	1	0	1	32	7	7
1	32	7	7	128	32	5	5	1	2	1	128	7	7
1	832	7	7	128	832	1	1	1	0	1	128	7	7
1	832	7	7	384	832	1	1	1	0	1	384	7	7
1	832	7	7	192	832	1	1	1	0	1	192	7	7
1	192	7	7	384	192	3	3	1	1	1	384	7	7
1	832	7	7	48	832	1	1	1	0	1	48	7	7
1	48	7	7	128	48	5	5	1	2	1	128	7	7
1	832	7	7	128	832	1	1	1	0	1	128	7	7
