#in_n	in_c	in_h	in_w	f_n	f_c	f_h	f_w	stride	padding	out_n	out_c	out_h	out_w
1	3	224	224	16	3	3	3	2	0	1	16	112	112
1	16	112	112	16	16	1	1	1	0	1	16	112	112
1	16	112	112	16	16	1	1	1	0	1	16	112	112
1	16	112	112	64	16	1	1	1	0	1	64	112	112
1	64	56	56	24	64	1	1	1	0	1	24	56	56
1	24	56	56	72	24	1	1	1	0	1	72	56	56
1	72	56	56	24	72	1	1	1	0	1	24	56	56
1	24	56	56	72	24	1	1	1	0	1	72	56	56
1	72	28	28	40	72	1	1	1	0	1	40	28	28
1	40	28	28	120	40	1	1	1	0	1	120	28	28
1	120	28	28	40	120	1	1	1	0	1	40	28	28
1	40	28	28	120	40	1	1	1	0	1	120	28	28
1	120	28	28	40	120	1	1	1	0	1	40	28	28
1	40	28	28	240	40	1	1	1	0	1	240	28	28
1	240	14	14	80	240	1	1	1	0	1	80	14	14
1	80	14	14	200	80	1	1	1	0	1	200	14	14
1	200	14	14	80	200	1	1	1	0	1	80	14	14
1	80	14	14	184	80	1	1	1	0	1	184	14	14
1	184	14	14	80	184	1	1	1	0	1	80	14	14
1	80	14	14	184	80	1	1	1	0	1	184	14	14
1	184	14	14	80	184	1	1	1	0	1	80	14	14
1	80	14	14	480	80	1	1	1	0	1	480	14	14
1	480	14	14	112	480	1	1	1	0	1	112	14	14
1	112	14	14	672	112	1	1	1	0	1	672	14	14
1	672	14	14	112	672	1	1	1	0	1	112	14	14
1	112	14	14	672	112	1	1	1	0	1	672	14	14
1	672	14	14	112	672	1	1	1	0	1	112	14	14
1	112	14	14	672	112	1	1	1	0	1	672	14	14
1	672	7	7	160	672	1	1	1	0	1	160	7	7
1	160	7	7	960	160	1	1	1	0	1	960	7	7
1	960	7	7	160	960	1	1	1	0	1	160	7	7
1	160	7	7	960	160	1	1	1	0	1	960	7	7
